ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 12,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 19,กลุ่มที่ 21
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,20,3662,0.14882577826324414,0.8511742217367558,6826.422535211268,11914.058548850575,9420.588235294117,3312.246031746032,10331.432773109243,7763.614840989399,1928.4953271028037,22095.0,0.0,8058.642857142857,2002.7142857142858
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,150,1881,0.0935672514619883,0.9064327485380117,6822.961538461538,6697.6,2204.4,1465.6615384615384,3191.027027027027,3523.4820788530465,1490.218085106383,0.0,0.0,2864.8571428571427,1215.0
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,50,1802,0.06381798002219756,0.9361820199778025,3893.4201680672268,20956.2,0.0,1287.64,12009.831775700935,2866.0979782270606,1118.1975308641975,0.0,0.0,2079.6363636363635,579.5
ตำรวจ,None,None,Public,485,1600,8,363,50,182,0.3131868131868132,0.6868131868131868,2353.0,12038.297619047618,740.0,0.0,1741.7692307692307,60613.75,1902.6666666666667,0.0,0.0,20882.5,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,101,50,53,0.20754716981132076,0.7924528301886793,0.0,10550.0,0.0,0.0,435.0,3441.8125,4558.5,0.0,0.0,0.0,0.0
ธนบุรี 1,Top,THG,Private,435,5620,9,625,120,3832,0.0861169102296451,0.9138830897703549,7858.772368421052,23689.805405405405,2451.153846153846,3818.485294117647,9765.326335877862,2887.4408695652173,1721.0185758513933,0.0,0.0,14139.857142857143,1468.3333333333333
ธนบุรี 2,None,THG,Private,95,5350,9,222,140,2943,0.07747196738022426,0.9225280326197758,7182.475863636363,21304.859375,650.0,3115.8288888888883,3138.0495867768595,2921.614889807162,1640.3601754385966,85789.66666666667,4000.0,4329.5116,4221.346153846154
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,200,75,0.08,0.92,3056.6666666666665,0.0,0.0,2649.0,5511.0,2966.2413793103447,1726.888888888889,0.0,0.0,0.0,850.0
นครธน,None,None,Private,150,4500,8,60,150,2755,0.06497277676950998,0.9357531760435571,8190.676865671643,1288.0,1387.055833333333,2391.76031496063,12881.496016949159,2402.1094770408163,1562.7265737051791,0.0,0.0,1666.2772222222222,1468.0
นพรัตนราชธานี,None,None,Public,609,1400,9,128,150,88,0.1590909090909091,0.8409090909090909,0.0,5846.0,0.0,0.0,10881.0,2585.0,0.0,0.0,0.0,300.1666666666667,0.0
นวเวช,None,None,Private,99,4000,8,240,100,30,0.03333333333333333,0.9666666666666667,5039.999999999999,0.0,0.0,0.0,0.0,433.57142857142856,1300.0,0.0,0.0,0.0,0.0
นวมินทร์,None,None,Private,180,3000,9,92,100,40,0.1,0.9,1016.0,100028.0,0.0,0.0,795.0,880.375,686.6666666666666,0.0,0.0,0.0,0.0
นวมินทร์ 9,None,None,Private,245,3280,9,179,100,2175,0.08873563218390805,0.911264367816092,7833.093959731544,27873.885714285716,2317.25,1511.75,3340.788888888889,3629.896385542169,1388.0434782608695,0.0,0.0,1435.0,667.6923076923077
