ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,0.061795569374271275,0.9382044306257287,2573,6745.091954022989,2691.196581196581,3138.153846153846,2634.7100840336134,3201.7976391231027,6988.89705882353,4371.9885057471265,0.0,5520.8259493670885,3275.768253968254
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,0.14363143631436315,0.8563685636856369,738,11986.166666666666,2629.574468085106,4716.416666666667,2925.3161764705883,3996.212142857143,24879.83695652174,3958.942857142857,0.0,1543.3673469387754,3806.8888888888887
พระรามเก้า,Top,None,Private,166,7950,9,340,0.04361104324456389,0.9563889567554361,8186,5939.503863987636,2751.4496753246754,3073.1111111111113,2482.4164265129684,2418.9035850081477,5782.044444444445,5142.04375,0.0,5235.68058968059,2371.603015075377
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,0.08661417322834646,0.9133858267716536,254,1933.5,1220.7272727272727,1166.767857142857,3996.525,1027.3,2102.8809523809523,2640.0,0.0,1558.6666666666667,6034.633333333333
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,0.06556968337073049,0.9344303166292696,4011,3840.9940148698884,2271.0493406593405,4603.9881081081085,2596.1115714285716,2275.2968838219326,5128.172118959107,7291.182611940299,0.0,4432.408586572437,2317.5058202247187
มิชชั่น,None,None,Private,120,4000,6,107,0.06666666666666667,0.9333333333333333,705,2782.3333333333335,1592.1046511627908,1200.0,12040.461538461539,10519.740458015267,9504.9,11481.53125,0.0,3306.0,5071.138888888889
มิตรประชา,None,None,Private,148,1800,9,55,0.06578947368421052,0.9342105263157895,76,1852.3,1000.0,950.0,1232.0,9951.533333333333,1143.3333333333333,890.0,0.0,1243.3333333333333,2835.5
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,0.1,0.9,40,928.0,0.0,0.0,650.0,1493.75,3609.0,675.0,0.0,653.3333333333334,0.0
ราชวิถี,Top,None,Private,1031,4300,9,347,0.324,0.676,250,3633.3333333333335,1228.939393939394,3940.0,10342.533333333333,4989.583333333333,10466.847826086956,2182.294117647059,0.0,4725.727272727273,780.0
รามคำแหง,Top,RAM,Public,486,3500,9,327,0.07943777637397346,0.9205622236260266,6332,7539.862697368422,3057.4133216783216,4839.488131868132,3206.7883846153845,3997.0553468697126,8995.05429906542,5041.500483870968,1250.0,5251.019877675841,3600.706040462427
