ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
สมิติเวชสุขุมวิท : BDMS,1,1,1,275,9000,7,0,571,300,561,50951.028399999996,209046.93799999997,2051.1057142857144,5353.385526315789,0,1655.0557142857144,5528.034999999999,4650.124545454546,17727.279459459463,17852.476060606055,5571.274090909091,33172.605,1619.8515454545457,31377.202500000003,148411.33,32630.0,23236.3825,3639.2005633802814,17718.675,2470.447916666667,19190.59
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,0,0,0,60,1400,7,0,45,30,26,6860.0,0.0,0.0,4200.625,0,350.0,0,0.0,2415.0,895.6,58170.0,3566.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,0,0,1,19,4800,6,0,10,150,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1170.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4914.0,0.0
สินแพทย์ ,0,1,1,287,3100,9,0,258,150,264,10209.684210526315,3521.75,2242.5,1710.3636363636363,0,700.0,1363.875,4722.666666666667,22537.0,2907.315789473684,6035.4,5777.0,1736.2631578947369,18144.4,0.0,0.0,0.0,4206.92,14428.0,2044.0600000000002,918.0
สินแพทย์  ศรีนครินทร์,0,1,1,110,2800,9,0,21,100,28,1578.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1582.6666666666667,0.0,1156.0,1536.625,1924.0,0.0,0.0,0.0,1092.0,600.0,2854.5,0.0
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),0,0,1,52,3440,4,0,5,510,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1415.5,0.0,0.0,0.0,0.0,400.0,1065.0,0.0,0.0
สุขสวัสดิ์,0,0,1,100,4200,8,0,49,50,8,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1685.93,0.0,1347.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สุขุมวิท,0,1,1,135,2760,8,0,46,170,322,3427.0882352941176,11313.0,0.0,2185.5,0,1688.0,9082.861111111111,1457.6,24593.227777777778,4085.3260869565215,6838.0,41082.5,1837.35,9515.916666666666,0.0,0.0,0.0,3312.6470588235293,26408.5,3788.809523809524,20977.0
หัวเฉียว,0,0,1,338,3300,6,0,391,50,714,3191.1976744186045,3195.125,1977.0,1293.8202247191011,0,1110.625,5477.938775510204,955.0,1982.530864197531,1207.445945945946,5603.129807692308,21025.75,2485.805970149254,3023.1341463414633,0.0,0.0,0.0,1509.2666666666667,1402.5,6417.1036585365855,885.0
อินทรารัตน์,0,0,1,152,3800,8,0,21,150,16,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1100.0,0.0,1456.5,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.25,0.0
