ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
นพรัตนราชธานี,None,None,Public,609,1400,9,128,150,88,0.1590909090909091,0.8409090909090909,0.0,5846.0,0.0,1692.3076923076924,0.0,3183.777777777778,0.0,10881.0,2585.0,1359.8333333333333,0.0,5019.357142857143,4340.0,0.0,0.0,0.0,1591.642857142857,300.1666666666667,778.0,0.0
นวเวช,None,None,Private,99,4000,8,240,100,30,0.03333333333333333,0.9666666666666667,5039.999999999999,0.0,0.0,2000.0,0.0,1322.5883333333334,0.0,0.0,433.57142857142856,1350.5,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.6,0.0
นวมินทร์,None,None,Private,180,3000,9,92,100,40,0.1,0.9,1016.0,100028.0,0.0,0.0,0.0,0.0,0.0,795.0,880.375,2862.5,686.6666666666666,655.1,0.0,0.0,0.0,62324.0,6802.8,0.0,2535.5,0.0
นวมินทร์ 9,None,None,Private,245,3280,9,179,100,2175,0.08873563218390805,0.911264367816092,7833.093959731544,27873.885714285716,2317.25,1219.319587628866,4807.363636363636,1363.8947368421052,1511.75,3340.788888888889,3629.896385542169,5471.908045977011,1388.0434782608695,2109.2025862068967,9715.051724137931,0.0,0.0,0.0,2051.711956521739,1435.0,5314.737777777777,667.6923076923077
บางโพ,None,None,Private,100,3700,9,155,50,1645,0.13191489361702127,0.8680851063829788,9702.911517857143,72945.0,13387.0,4583.039714285715,15961.26904761905,7431.89223880597,4714.939714285714,21605.8125,4175.763686746988,11095.800000000001,1980.501096774194,2326.805502392345,8455.673194444444,82411.0,0.0,0.0,5055.651230769231,2381.6666666666665,4945.75782051282,2173.6875
บางไผ่,None,None,Private,100,3530,9,8,100,186,0.03225806451612903,0.967741935483871,5722.625,0.0,0.0,1558.6055555555556,0.0,1348.409090909091,0.0,2286.632857142857,1141.6648387096773,1621.4822222222222,1376.295,1079.908181818182,51209.25,0.0,0.0,0.0,853.9315384615385,541.0,1162.8268292682926,0.0
บางนา 1,None,None,Private,101,2700,7,84,100,251,0.035856573705179286,0.9641434262948207,991.9473684210526,0.0,0.0,700.0,745.0,3592.633333333333,1377.7142857142858,24262.0,924.04,10855.23076923077,789.8275862068965,642.6315789473684,472.0,0.0,0.0,0.0,688.2727272727273,0.0,9168.742857142857,0.0
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,100,1827,0.06896551724137931,0.9310344827586207,7278.642937062938,57975.333333333336,1289.98,1538.894171779141,4115.694444444444,1247.9451219512196,2949.8026785714287,2559.4491525423728,2705.70260034904,3637.9202941176472,1760.4868421052631,1693.7858666666666,5617.4125,0.0,0.0,0.0,5325.523445378151,1075.6666666666667,3233.0716666666667,0.0
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,80,308,0.12987012987012986,0.8701298701298701,3869.5151515151515,0.0,818.0,1896.7291666666667,900.0,1045.9479166666667,4429.65625,5007.523809523809,2254.5135135135133,2605.3166666666666,834.4285714285714,1028.5833333333333,2763.0416666666665,0.0,0.0,0.0,2965.6,1500.0,2407.985576923077,0.0
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,120,1704,0.06396713615023474,0.9360328638497653,4638.349316239316,2201.25,4126.0,2489.398305084746,1545.55,1482.342105263158,2442.580508474576,16818.653773584905,3324.41891509434,6418.745094339623,2116.3291139240505,1742.7622180451128,7858.805882352941,0.0,0.0,0.0,5604.34633027523,2232.75,3682.736263736264,871.6666666666666
บางมด,None,None,Private,203,4000,9,71,200,283,0.07773851590106007,0.9222614840989399,1311.9444444444443,1832.75,1750.0,1467.952380952381,450.0,7817.905192307692,1092.0,2738.3214285714284,1552.4871794871794,2053.15,5856.555555555556,6550.064516129032,1389.4,0.0,0.0,0.0,899.25,925.0,11411.681818181818,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,50,46,0.21739130434782608,0.782608695652174,0.0,0.0,0.0,1810.909090909091,10754.0,17259.105263157893,0.0,3000.0,313.0,600.0,0.0,1721.4285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,300,2419,0.07317073170731707,0.926829268292683,77402.2190909091,14563.901900826446,36536.47483870968,6374.905420560748,18371.305357142857,16541.14050955414,2522.8560843373493,25819.571130434782,5430.098103448277,11599.845136986301,3558.174478527607,2880.6140793201134,9841.037417218544,59150.5,1320.0,0.0,7881.797261904761,46834.49105263158,7382.017567567568,3701.0857142857144
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,350,2097,0.05484024797329518,0.9451597520267048,7554.314926470589,9963.988000000001,12475.78947368421,6701.228035714285,6909.180869565217,3766.4966972477064,1999.4236842105265,18301.972222222223,3947.292156862745,7978.746477272728,2035.1926288659793,9539.89364864865,11836.367886178863,76385.0,13992.2,1518.8899999999999,8446.919230769232,5652.081739130435,3015.598805970149,6237.423658536585
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,80,3095,0.0617124394184168,0.9382875605815832,4775.646911764707,37984.848,60581.0,1967.3909392265193,1263.715625,5798.239082568808,1329.0313846153847,6286.019567307692,2692.418990929705,6913.994029126214,1987.1590049751244,1573.3488275862069,3803.948418079096,0.0,0.0,0.0,3075.8756934306566,1113.923076923077,2990.8807758620687,1188.25
บุญญาเวช,None,None,Private,29,2900,2,8,120,43,0.09302325581395349,0.9069767441860465,0.0,0.0,0.0,18061.8,0.0,4656.214482758621,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.0,0.0
ปิยะเวท,None,BHGRT,Private,150,5760,9,243,150,1004,0.04880478087649402,0.951195219123506,7049.050847457627,16046.9375,1336.0220000000002,1682.152191780822,24907.5,1774.041891891892,1260.9375,1711.1814634146342,1845.5803896103898,5197.192149532711,1536.109411764706,1761.2982631578946,10019.135813953488,0.0,0.0,0.0,4274.9575,3180.8888888888887,2735.8125,23333.0
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,150,2873,0.06648103028193526,0.9335189697180647,10391.077181208053,38882.19696969697,25827.125,2950.424623115578,10156.69,5015.580291970803,2085.2670454545455,20610.481707317074,5799.679104477612,5636.464117647059,2505.93661971831,6204.294871794872,5639.004189944134,0.0,0.0,0.0,9301.163961038961,2318.6,4119.281818181818,2475.0
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,180,8289,0.07105802871275184,0.929183254916154,6936.915319587629,27481.80991735537,12327.223015873016,2192.3946957878316,11418.029411764706,2963.533076923077,3000.53305785124,9280.46511627907,3695.271394374626,8980.261057692307,2245.1026656848308,2774.969107321966,7543.458949416342,107852.2,14902.75,1300.0,8190.924333333333,5783.541666666667,3121.17593175853,2919.8650442477874
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,150,4412,0.09791477787851315,0.9020852221214869,10889.847832817337,3372.404761904762,7213.4047619047615,2478.876865671642,14374.958333333334,4387.784172661871,3101.329457364341,15320.297872340425,4461.405240174672,9299.647916666667,1959.8522727272727,9985.083526682134,8960.068897637795,65280.5,0.0,2171.0,7216.674418604651,18163.625,4199.943620178042,3162.4615384615386
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,80,2573,0.061795569374271275,0.9382044306257287,6745.091954022989,11188.086666666666,824.625,2691.196581196581,3138.153846153846,2634.7100840336134,3530.5685840707965,3515.752,3201.7976391231027,6988.89705882353,1631.6274509803923,2124.1352112676054,4371.9885057471265,0.0,0.0,0.0,5520.8259493670885,2294.3478260869565,3275.768253968254,1372.0
